D73,9,3B1648X22720,,,,,,A 58597,42850,1,NO-BREAK 2 LAMINADO,BACK UPS RS LCD 700,2835.19,UPS
D74,,3B1647X38689,,,,,,A 59862,42860,1,NO-BREAK DVR LAMINADO,BACK UPS RS LCD 700,2780.47,UPS
D75,15,,,"MALETIN CLASIC CLAMSHELL 16""",,,,A 46485,42563,1,Maletin SISTEMAS,,381.77,Maletin
D76,22,2.15338E+11,TP-LINK,EAP110,,,,,,1,Access Point VENTAS,TP-LINK Access Point,0,Access Point
D77,,,,,,,,,,1,Checador CIBELES,PRIVATE,0,Checador
D78,8,,,,,,,,,1,MONITOR COORDINADOR,Pantalla,0,Pantalla
D79,53,4GCQA008604,PANASONIC,KX-TGC210MEB,,,,,,1,TEL PREPARADOR AUTOS,Teléfono inalambrico Panasonic,0,Telefonía
D80,,,PANASONIC,,,,,,,1,Conmutador CIBELES,Conumutador PANASONIC,0,Telefonía
D81,22,,PANASONIC,kx7730 Avance Hybrid System,,,,,,1,Tel Recepción CIBELES,Teléfono Recepción,0,Telefonía
D82,49,,,,,,,,,1,Tel Asesor1 CIBELES,,0,Telefonía
D83,48,,,,,,,,,1,Tel Asesor2 CIBELES,,0,Telefonía
D84,46,,,,,,,,,1,Tel Asesor3 CIBELES,,0,Telefonía
D85,,,RADIOSHACK,,,,,,,1,Tel Inalambrico site 1 CIBELES,,0,Telefonía
D86,,,PANASONIC,,,,,,,1,Tel Inalambrico site 2 CIBELES,,0,Telefonía
D87,,,,,,,,,,1,Switch CIBELES,Dual Speed Switch ,0,Switch
D88,,,,,,,,,,,Switch Impresoras CIBELES,,0,Switch
D89,5,,,,,,,,,1,Checador CIBELES,Reloj Checador E9,0,Checador
D90,,12X10P07502845,LINKSYS,WAP300N,,,,A 37412,42314,1,WAP300N (Access Point LAMINADO),"LINKSYS INALAMBRICO-N
LONGDESC WAP300N",1509.08,Access Point
D91,9,3CQ5331XH0,HP,7140AYZ,,,,A 39485,42376,1,MONITOR JEFE TALLER,HP WS MONITOR Z23I LED,4159.42,Pantalla
D92,9,MJI5HMEY305941A,SAMSUNG,SYNC MASTER 510N,,,,,,2,MONITOR PINTURA,PANTALLA SAMSUNG,0,Pantalla
D93,,,,,,,,,,4,No-break,UPS 900,0,UPS
D94,,,,,,,,,,4,No-break ,,0,UPS
D95,9,,,,,,,,,2,Regulador LAMINADO,,0,UPS
D96,,,,,,,,,,,Modem LAMINADO,MODEM INTERNET,0,Modem
D97,28,,,,,,,,,1,Telefono Inlambrico LAMINADO,,0,Telefonía
D98,29,CNOWH318728726AD8J9U,HP,,,,,,,1,MONITOR-TECNICOSTALLER,Hewlett-Packard Company,0,Pantalla
D99,9,,,,,,,,,1,SWITCH JEFE TALLER,,0,Switch
D100,,,,,,,,,,,SWITCH FORTI LAMINADO,,0,Switch
D101,,3B1619X14311,,68700DN,,,,A 48915,42619,1,No-break Forti LAMINADO,BACK UPS RS LCD 700,2577.73,UPS
